Litter type,Block,Plot,Position,Months,Percent N mass remaining
turkey oak,B,11,Surface,36,120.46
turkey oak,B,12,Surface,36,87.83
,,,,,
turkey oak,C,1,Surface,36,88.35
turkey oak,C,2,Surface,36,54.97
turkey oak,C,3,Surface,36,78.4
turkey oak,C,4,Surface,36,60.8
turkey oak,C,5,Surface,36,91.77
turkey oak,C,7,Surface,36,117.44
turkey oak,C,8,Surface,36,85.62
turkey oak,C,9,Surface,36,81.17
turkey oak,C,10,Surface,36,92.31
turkey oak,C,11,Surface,36,104.57
turkey oak,C,12,Surface,36,93.97
,,,,,
,,,,,
turkey oak,A,1,Surface,48,75.1
turkey oak,A,2,Surface,48,30.59
turkey oak,A,3,Surface,48,79.14
turkey oak,A,4,Surface,48,31.65
turkey oak,A,6,Surface,48,27.95
turkey oak,A,6,Surface,48,65.1
turkey oak,A,6,Surface,48,86.98
turkey oak,A,8,Surface,48,96.81
turkey oak,A,9,Surface,48,82.46
turkey oak,A,10,Surface,48,79.43
turkey oak,A,11,Surface,48,86.89
turkey oak,A,12,Surface,48,30.21
,,,,,
turkey oak,B,1,Surface,48,70.24
turkey oak,B,1,Surface,48,95.46
turkey oak,B,2,Surface,48,85.44
turkey oak,B,3,Surface,48,81.65
turkey oak,B,3,Surface,48,87.07
turkey oak,B,5,Surface,48,58.63
turkey oak,B,6,Surface,48,73.73
turkey oak,B,8,Surface,48,92.06
turkey oak,B,9,Surface,48,94.11
turkey oak,B,9,Surface,48,99.62
turkey oak,B,10,Surface,48,91.84
,,,,,
turkey oak,C,2,Surface,48,47.42
turkey oak,C,3,Surface,48,60.71
turkey oak,C,4,Surface,48,97.73
turkey oak,C,5,Surface,48,97.21
turkey oak,C,7,Surface,48,88.41
turkey oak,C,8,Surface,48,80.4
turkey oak,C,10,Surface,48,118.46
turkey oak,C,11,Surface,48,81.31
turkey oak,C,11,Surface,48,93.88
turkey oak,C,12,Surface,48,92.81
,,,,,
pine,A,1,Buried,6,118.36
pine,A,2,Buried,6,112.33
pine,A,3,Buried,6,122.64
pine,A,4,Buried,6,90.52
pine,A,5,Buried,6,92.43
pine,A,6,Buried,6,97.37
pine,A,7,Buried,6,109.81
pine,A,8,Buried,6,140.78
pine,A,9,Buried,6,134
pine,A,10,Buried,6,87.37
pine,A,10,Buried,6,119.26
pine,A,11,Buried,6,96.21
,,,,,
pine,B,1,Buried,6,107.66
pine,B,2,Buried,6,105.48
pine,B,3,Buried,6,95.04
pine,B,4,Buried,6,130.75
pine,B,5,Buried,6,118.75
pine,B,6,Buried,6,118.07
pine,B,7,Buried,6,127.89
pine,B,8,Buried,6,139.64
pine,B,10,Buried,6,98.22
pine,B,11,Buried,6,94.95
pine,B,11,Buried,6,96.86
pine,B,12,Buried,6,136.73
,,,,,
pine,C,1,Buried,6,124.33
pine,C,2,Buried,6,123.31
pine,C,3,Buried,6,98.51
pine,C,4,Buried,6,111.88
pine,C,6,Buried,6,113.02
pine,C,7,Buried,6,110.67
pine,C,8,Buried,6,90.21
pine,C,9,Buried,6,128.15
pine,C,10,Buried,6,128.43
pine,C,11,Buried,6,131.58
pine,C,12,Buried,6,129.16
,,,,,
,,,,,
pine,A,1,Buried,12,86.95
pine,A,2,Buried,12,102.97
pine,A,3,Buried,12,70.32
pine,A,4,Buried,12,93.17
pine,A,5,Buried,12,96.39
pine,A,6,Buried,12,93.19
pine,A,8,Buried,12,104.89
pine,A,9,Buried,12,99.26
pine,A,11,Buried,12,117.77
pine,A,12,Buried,12,84.58
pine,A,12,Buried,12,117.28
,,,,,
pine,B,1,Buried,12,85.95
pine,B,3,Buried,12,82.55
pine,B,4,Buried,12,105.44
pine,B,5,Buried,12,116.1
pine,B,7,Buried,12,92.55
pine,B,8,Buried,12,113.33
pine,B,9,Buried,12,105.51
pine,B,10,Buried,12,97.14
pine,B,11,Buried,12,25.92
pine,B,11,Buried,12,108.34
pine,B,12,Buried,12,106.22
,,,,,
pine,C,1,Buried,12,86.89
pine,C,2,Buried,12,96.16
pine,C,2,Buried,12,112.69
pine,C,3,Buried,12,108.62
pine,C,5,Buried,12,83.31
pine,C,5,Buried,12,93.26
pine,C,6,Buried,12,102.37
pine,C,6,Buried,12,107.52
pine,C,7,Buried,12,100.73
pine,C,8,Buried,12,106.33
pine,C,9,Buried,12,91.22
pine,C,10,Buried,12,104.57
pine,C,11,Buried,12,106.79
pine,C,12,Buried,12,105.41
,,,,,
,,,,,
pine,A,1,Buried,18,75.67
pine,A,2,Buried,18,57.44
pine,A,3,Buried,18,22.91
pine,A,4,Buried,18,73.2
pine,A,5,Buried,18,68.34
pine,A,6,Buried,18,53
pine,A,7,Buried,18,50.11
pine,A,8,Buried,18,79.48
pine,A,9,Buried,18,120.52
pine,A,10,Buried,18,26.89
pine,A,11,Buried,18,100.59
pine,A,12,Buried,18,120.88
,,,,,
pine,B,1,Buried,18,73.55
pine,B,2,Buried,18,31.02
pine,B,3,Buried,18,64.59
pine,B,5,Buried,18,52.71
pine,B,6,Buried,18,77.99
pine,B,7,Buried,18,79.69
pine,B,8,Buried,18,61.4
pine,B,8,Buried,18,92.33
