LitterType,Block,Plot,Position,Months,Percent P mass remaining
pine,A,1,Buried,6,66.39
pine,A,2,Buried,6,119.99
pine,A,3,Buried,6,81.36
pine,A,4,Buried,6,50.79
pine,A,5,Buried,6,94.2
pine,A,6,Buried,6,144.03
pine,A,7,Buried,6,158.93
pine,A,8,Buried,6,156.44
pine,A,9,Buried,6,90.68
pine,A,10,Buried,6,44.25
pine,A,10,Buried,6,278.08
pine,A,11,Buried,6,21.88
,,,,,
pine,B,1,Buried,6,59.49
pine,B,2,Buried,6,286.61
pine,B,3,Buried,6,56.42
pine,B,4,Buried,6,42.07
pine,B,5,Buried,6,111.85
pine,B,6,Buried,6,45.67
pine,B,7,Buried,6,53.3
pine,B,10,Buried,6,32.91
pine,B,11,Buried,6,58.45
pine,B,11,Buried,6,129.85
,,,,,
pine,C,1,Buried,6,291.38
pine,C,2,Buried,6,87.59
pine,C,3,Buried,6,90.24
pine,C,4,Buried,6,260.95
pine,C,6,Buried,6,45.27
pine,C,7,Buried,6,100.1
pine,C,8,Buried,6,90.18
pine,C,9,Buried,6,112.87
pine,C,10,Buried,6,61.23
pine,C,11,Buried,6,86.78
pine,C,12,Buried,6,303.15
,,,,,
,,,,,
pine,A,1,Buried,12,37.83
pine,A,2,Buried,12,85.08
pine,A,3,Buried,12,47.74
pine,A,4,Buried,12,30.97
pine,A,8,Buried,12,87.72
,,,,,
,,,,,
pine,B,1,Buried,12,73.85
pine,B,3,Buried,12,43.7
pine,B,4,Buried,12,54.11
pine,B,5,Buried,12,61.65
pine,B,7,Buried,12,73.08
pine,B,8,Buried,12,96.55
pine,B,9,Buried,12,115.58
pine,B,10,Buried,12,34.92
pine,B,11,Buried,12,13.76
pine,B,11,Buried,12,61.11
pine,B,12,Buried,12,115.68
,,,,,
,,,,,
pine,C,1,Buried,12,34.46
pine,C,2,Buried,12,57.74
pine,C,2,Buried,12,90.95
pine,C,3,Buried,12,57.76
pine,C,5,Buried,12,53.65
pine,C,5,Buried,12,62.52
pine,C,6,Buried,12,75.01
pine,C,6,Buried,12,88.07
pine,C,7,Buried,12,91.03
pine,C,8,Buried,12,80.4
pine,C,9,Buried,12,61.28
pine,C,10,Buried,12,38.08
pine,C,12,Buried,12,41.53
,,,,,
,,,,,
pine,A,1,Buried,18,31.28
pine,A,2,Buried,18,36.37
pine,A,3,Buried,18,18.25
pine,A,4,Buried,18,52.45
pine,A,5,Buried,18,75.43
pine,A,6,Buried,18,68.19
pine,A,7,Buried,18,47.95
pine,A,8,Buried,18,87.18
pine,A,9,Buried,18,67.57
pine,A,10,Buried,18,39.26
pine,A,11,Buried,18,112.15
pine,A,12,Buried,18,80.64
,,,,,
pine,B,1,Buried,18,43.53
pine,B,2,Buried,18,22.3
pine,B,3,Buried,18,34.68
pine,B,5,Buried,18,19.85
pine,B,6,Buried,18,75.77
pine,B,7,Buried,18,7.01
pine,B,8,Buried,18,13.12
pine,B,8,Buried,18,59.03
pine,B,10,Buried,18,66.81
pine,B,11,Buried,18,34.64
,,,,,
pine,C,1,Buried,18,39.04
pine,C,2,Buried,18,29.15
pine,C,3,Buried,18,15.71
pine,C,4,Buried,18,57.88
pine,C,5,Buried,18,33.7
pine,C,6,Buried,18,91.28
pine,C,7,Buried,18,89.12
pine,C,8,Buried,18,51.29
pine,C,9,Buried,18,36.83
pine,C,11,Buried,18,49.42
pine,C,12,Buried,18,15.4
,,,,,
,,,,,
pine,A,1,Buried,24,48.03
pine,A,2,Buried,24,47.69
pine,A,3,Buried,24,23.61
pine,A,5,Buried,24,56.46
pine,A,6,Buried,24,33.21
pine,A,7,Buried,24,27.18
pine,A,8,Buried,24,49.23
pine,A,9,Buried,24,31.41
pine,A,10,Buried,24,7.51
pine,A,11,Buried,24,114.02
,,,,,
pine,B,1,Buried,24,28.98
pine,B,2,Buried,24,16.25
pine,B,3,Buried,24,29.6
pine,B,4,Buried,24,75.36
pine,B,5,Buried,24,18.97
pine,B,6,Buried,24,35.35
pine,B,8,Buried,24,26.22
pine,B,9,Buried,24,32.43
pine,B,12,Buried,24,43.61
,,,,,
pine,C,1,Buried,24,55.44
pine,C,2,Buried,24,14.82
pine,C,3,Buried,24,38.07
pine,C,4,Buried,24,28.07
pine,C,5,Buried,24,75.32
pine,C,6,Buried,24,8.75
pine,C,7,Buried,24,45.61
pine,C,9,Buried,24,94.52
pine,C,11,Buried,24,6.96
pine,C,12,Buried,24,23.04
,,,,,
,,,,,
pine,A,5,Buried,36,46.83
pine,A,7,Buried,36,16.69
pine,A,11,Buried,36,73.8
pine,A,12,Buried,36,30.98
,,,,,
pine,B,2,Buried,36,39.69
pine,B,4,Buried,36,30.08
pine,B,5,Buried,36,53.9
pine,B,6,Buried,36,17.27
pine,B,7,Buried,36,106.73
pine,B,9,Buried,36,22.21
pine,B,10,Buried,36,35.82
pine,B,11,Buried,36,36.9
pine,B,12,Buried,36,62.95
,,,,,
pine,C,2,Buried,36,9.56
pine,C,3,Buried,36,23.47
pine,C,5,Buried,36,11.69
pine,C,7,Buried,36,49.91
pine,C,10,Buried,36,26.52
,,,,,
,,,,,
pine,A,2,Buried,48,21.11
pine,A,4,Buried,48,30.82
