Litter type,Block,Plot,Position,Months,Percent Mass remaining
pine,A,11,Buried,36,42.73
pine,A,12,Buried,36,25.24
,,,,,
pine,B,1,Buried,36,18.21
pine,B,2,Buried,36,22.98
pine,B,4,Buried,36,13.79
pine,B,5,Buried,36,20.8
pine,B,6,Buried,36,20
pine,B,7,Buried,36,27.3
pine,B,9,Buried,36,40.72
pine,B,10,Buried,36,24.62
pine,B,11,Buried,36,27.06
pine,B,12,Buried,36,36.45
,,,,,
pine,C,2,Buried,36,7.14
pine,C,2,Buried,36,13.14
pine,C,3,Buried,36,18.44
pine,C,4,Buried,36,17.65
pine,C,5,Buried,36,6.77
pine,C,7,Buried,36,29.67
pine,C,10,Buried,36,34.32
pine,C,11,Buried,36,32.87
,,,,,
,,,,,
pine,A,2,Buried,48,21.11
pine,A,4,Buried,48,20.54
pine,A,8,Buried,48,34.28
pine,A,9,Buried,48,25.34
pine,A,12,Buried,48,35.22
,,,,,
pine,B,2,Buried,48,19.39
pine,B,5,Buried,48,16.91
pine,B,8,Buried,48,21.32
pine,B,8,Buried,48,29.57
pine,B,9,Buried,48,18.85
pine,B,10,Buried,48,31.68
pine,B,12,Buried,48,10.81
,,,,,
pine,C,3,Buried,48,10.53
pine,C,4,Buried,48,24.07
pine,C,5,Buried,48,20.51
pine,C,7,Buried,48,26.48
pine,C,9,Buried,48,11.63
pine,C,10,Buried,48,23.5
pine,C,11,Buried,48,26.09
pine,C,12,Buried,48,21.4
,,,,,
pine,A,1,Surface,6,93
pine,A,2,Surface,6,74.46
pine,A,2,Surface,6,94.48
pine,A,3,Surface,6,91.5
pine,A,4,Surface,6,91.61
pine,A,5,Surface,6,91.81
pine,A,6,Surface,6,90.67
pine,A,7,Surface,6,95.94
pine,A,8,Surface,6,95.25
pine,A,9,Surface,6,95.12
pine,A,10,Surface,6,89.13
pine,A,10,Surface,6,94.04
pine,A,11,Surface,6,89.7
,,,,,
pine,B,1,Surface,6,88.07
pine,B,2,Surface,6,89.42
pine,B,3,Surface,6,91.02
pine,B,4,Surface,6,89.37
pine,B,5,Surface,6,87.76
pine,B,6,Surface,6,91.53
pine,B,7,Surface,6,86.39
pine,B,8,Surface,6,95.97
pine,B,10,Surface,6,91.17
pine,B,11,Surface,6,90.43
pine,B,11,Surface,6,91.1
pine,B,12,Surface,6,72.88
,,,,,
pine,C,1,Surface,6,92.75
pine,C,2,Surface,6,93.2
pine,C,3,Surface,6,85.59
pine,C,4,Surface,6,93.37
pine,C,4,Surface,6,94.03
pine,C,4,Surface,6,94.07
pine,C,6,Surface,6,91.29
pine,C,7,Surface,6,88.63
pine,C,8,Surface,6,95.96
pine,C,9,Surface,6,90.92
pine,C,10,Surface,6,85
pine,C,11,Surface,6,94.07
pine,C,12,Surface,6,89.87
,,,,,
,,,,,
pine,A,1,Surface,12,86.55
pine,A,3,Surface,12,83
pine,A,4,Surface,12,74.59
pine,A,5,Surface,12,85.99
pine,A,6,Surface,12,82.63
pine,A,7,Surface,12,84.16
pine,A,8,Surface,12,85.39
pine,A,9,Surface,12,84.52
pine,A,11,Surface,12,82.43
pine,A,12,Surface,12,82.03
pine,A,12,Surface,12,82.43
,,,,,
pine,B,1,Surface,12,80.27
pine,B,3,Surface,12,84.62
pine,B,4,Surface,12,83.14
pine,B,5,Surface,12,85.76
pine,B,7,Surface,12,80.27
pine,B,8,Surface,12,84.69
pine,B,9,Surface,12,84.96
pine,B,10,Surface,12,78.87
pine,B,11,Surface,12,66.79
pine,B,11,Surface,12,83.42
pine,B,12,Surface,12,84.32
,,,,,
pine,C,1,Surface,12,84.54
pine,C,2,Surface,12,77.25
pine,C,2,Surface,12,85.92
pine,C,3,Surface,12,83.06
pine,C,5,Surface,12,82.23
pine,C,5,Surface,12,83.78
pine,C,6,Surface,12,79.14
pine,C,6,Surface,12,84.33
pine,C,7,Surface,12,85.4
pine,C,8,Surface,12,83.99
pine,C,9,Surface,12,85.6
pine,C,10,Surface,12,80.53
pine,C,11,Surface,12,84.32
pine,C,12,Surface,12,82.64
,,,,,
,,,,,
pine,A,1,Surface,18,75.3
pine,A,2,Surface,18,77.48
pine,A,3,Surface,18,68.97
pine,A,4,Surface,18,74.65
pine,A,5,Surface,18,74.93
pine,A,6,Surface,18,77.08
pine,A,7,Surface,18,71.64
pine,A,8,Surface,18,76.06
pine,A,9,Surface,18,71.12
pine,A,10,Surface,18,62.1
pine,A,11,Surface,18,77.3
pine,A,12,Surface,18,67.71
,,,,,
pine,B,1,Surface,18,67.36
pine,B,2,Surface,18,64.49
pine,B,3,Surface,18,71.3
pine,B,4,Surface,18,74.1
pine,B,5,Surface,18,73.56
pine,B,6,Surface,18,64.84
pine,B,7,Surface,18,60.98
pine,B,8,Surface,18,75
pine,B,9,Surface,18,72.73
pine,B,10,Surface,18,73.62
pine,B,11,Surface,18,70.7
pine,B,12,Surface,18,67.59
,,,,,
pine,C,1,Surface,18,75.25
pine,C,2,Surface,18,79.77
pine,C,3,Surface,18,51.25
pine,C,4,Surface,18,80.37
pine,C,5,Surface,18,76.88
pine,C,6,Surface,18,66.82
pine,C,7,Surface,18,71.25
pine,C,8,Surface,18,71.92
pine,C,9,Surface,18,70.6
pine,C,11,Surface,18,74.21
pine,C,12,Surface,18,74.66
,,,,,
,,,,,
pine,A,1,Surface,24,74.82
pine,A,2,Surface,24,80.54
pine,A,3,Surface,24,73.07
pine,A,4,Surface,24,63.91
pine,A,5,Surface,24,66.75
pine,A,6,Surface,24,72.22
pine,A,7,Surface,24,62.75
pine,A,8,Surface,24,67.12
pine,A,9,Surface,24,69.24
pine,A,10,Surface,24,74.72
pine,A,11,Surface,24,70.05
pine,A,12,Surface,24,60.94
,,,,,
pine,B,1,Surface,24,70.86
pine,B,2,Surface,24,73.27
pine,B,3,Surface,24,72.21
pine,B,4,Surface,24,61.82
pine,B,6,Surface,24,62.22
pine,B,7,Surface,24,70.74
pine,B,8,Surface,24,75.86
pine,B,9,Surface,24,69.09
pine,B,10,Surface,24,67.4
pine,B,12,Surface,24,67.87
,,,,,
pine,C,1,Surface,24,63.26
pine,C,2,Surface,24,67.4
pine,C,3,Surface,24,69.66
pine,C,4,Surface,24,62.69
pine,C,5,Surface,24,58.36
pine,C,6,Surface,24,72.6
pine,C,7,Surface,24,62.39
pine,C,8,Surface,24,71.32
pine,C,9,Surface,24,63.66
pine,C,10,Surface,24,52.37
pine,C,11,Surface,24,70.78
pine,C,12,Surface,24,71.16
,,,,,
,,,,,
pine,A,1,Surface,36,60.76
pine,A,3,Surface,36,58.91
pine,A,3,Surface,36,61.05
pine,A,4,Surface,36,48.84
pine,A,5,Surface,36,61.14
pine,A,6,Surface,36,63.05
pine,A,7,Surface,36,65.9
pine,A,8,Surface,36,55.09
pine,A,9,Surface,36,45.49
pine,A,10,Surface,36,65.66
pine,A,11,Surface,36,50.5
